frame= 378 | y=0.00 | obs0_x=-31.58
frame= 379 | y=0.00 | obs0_x=-31.67
frame= 380 | y=0.00 | obs0_x=-31.75
frame= 381 | y=0.00 | obs0_x=-31.83
frame= 382 | y=0.00 | obs0_x=-31.92
frame= 383 | y=0.00 | obs0_x=-32.00
frame= 384 | y=1.20 | obs0_x=-32.08
frame= 385 | y=1.20 | obs0_x=-32.17
frame= 386 | y=0.00 | obs0_x=-32.25
frame= 387 | y=1.20 | obs0_x=-32.33
frame= 388 | y=1.20 | obs0_x=-32.42
frame= 389 | y=0.00 | obs0_x=-32.50
frame= 390 | y=0.00 | obs0_x=-32.58
frame= 391 | y=0.00 | obs0_x=-32.67
frame= 392 | y=0.00 | obs0_x=-32.75
frame= 393 | y=1.20 | obs0_x=-32.83
frame= 394 | y=0.00 | obs0_x=-32.92
frame= 395 | y=0.00 | obs0_x=-33.00
frame= 396 | y=1.20 | obs0_x=-33.08
frame= 397 | y=0.00 | obs0_x=-33.17
frame= 398 | y=0.00 | obs0_x=-33.25
frame= 399 | y=1.20 | obs0_x=-33.33
frame= 400 | y=0.00 | obs0_x=-33.42
frame= 401 | y=0.00 | obs0_x=-33.50
frame= 402 | y=0.00 | obs0_x=-33.58
frame= 403 | y=0.00 | obs0_x=-33.67
frame= 404 | y=0.00 | obs0_x=-33.75
frame= 405 | y=0.00 | obs0_x=-33.83
frame= 406 | y=0.00 | obs0_x=-33.92
frame= 407 | y=0.00 | obs0_x=-34.00
frame= 408 | y=0.00 | obs0_x=-34.08
frame= 409 | y=0.00 | obs0_x=-34.17
frame= 410 | y=1.20 | obs0_x=-34.25
frame= 411 | y=1.20 | obs0_x=-34.33
frame= 412 | y=0.00 | obs0_x=-34.42
frame= 413 | y=0.00 | obs0_x=-34.50
frame= 414 | y=1.20 | obs0_x=-34.58
frame= 415 | y=1.20 | obs0_x=-34.67
frame= 416 | y=1.20 | obs0_x=-34.75
frame= 417 | y=1.20 | obs0_x=-34.83
frame= 418 | y=0.00 | obs0_x=-34.92
frame= 419 | y=0.00 | obs0_x=-35.00
frame= 420 | y=1.20 | obs0_x=-35.08
frame= 421 | y=0.00 | obs0_x=-35.17
frame= 422 | y=0.00 | obs0_x=-35.25
frame= 423 | y=0.00 | obs0_x=-35.33
frame= 424 | y=0.00 | obs0_x=-35.42
frame= 425 | y=1.20 | obs0_x=-35.50
frame= 426 | y=0.00 | obs0_x=-35.58
frame= 427 | y=0.00 | obs0_x=-35.67
frame= 428 | y=0.00 | obs0_x=-35.75
frame= 429 | y=0.00 | obs0_x=-35.83
frame= 430 | y=0.00 | obs0_x=-35.92
frame= 431 | y=0.00 | obs0_x=-36.00
frame= 432 | y=1.20 | obs0_x=-36.08
frame= 433 | y=0.00 | obs0_x=-36.17
frame= 434 | y=0.00 | obs0_x=-36.25
frame= 435 | y=1.20 | obs0_x=-36.33
frame= 436 | y=0.00 | obs0_x=-36.42
frame= 437 | y=1.20 | obs0_x=-36.50
frame= 438 | y=0.00 | obs0_x=-36.58
frame= 439 | y=0.00 | obs0_x=-36.67
frame= 440 | y=0.00 | obs0_x=-36.75
frame= 441 | y=0.00 | obs0_x=-36.83
frame= 442 | y=0.00 | obs0_x=-36.92
frame= 443 | y=0.00 | obs0_x=-37.00
frame= 444 | y=1.20 | obs0_x=-37.08
frame= 445 | y=1.20 | obs0_x=-37.17
frame= 446 | y=0.00 | obs0_x=-37.25
frame= 447 | y=1.20 | obs0_x=-37.33
frame= 448 | y=0.00 | obs0_x=-37.42
frame= 449 | y=0.00 | obs0_x=-37.50
frame= 450 | y=0.00 | obs0_x=-37.58
frame= 451 | y=1.20 | obs0_x=-37.67
frame= 452 | y=0.00 | obs0_x=-37.75
frame= 453 | y=0.00 | obs0_x=-37.83
frame= 454 | y=0.00 | obs0_x=-37.92
frame= 455 | y=0.00 | obs0_x=-38.00
frame= 456 | y=0.00 | obs0_x=-38.08
frame= 457 | y=0.00 | obs0_x=-38.17
frame= 458 | y=0.00 | obs0_x=-38.25
frame= 459 | y=0.00 | obs0_x=-38.33
frame= 460 | y=0.00 | obs0_x=-38.42
frame= 461 | y=0.00 | obs0_x=-38.50
frame= 462 | y=1.20 | obs0_x=-38.58
frame= 463 | y=0.00 | obs0_x=-38.67
frame= 464 | y=0.00 | obs0_x=-38.75
frame= 465 | y=0.00 | obs0_x=-38.83
frame= 466 | y=0.00 | obs0_x=-38.92
frame= 467 | y=0.00 | obs0_x=-39.00
frame= 468 | y=1.20 | obs0_x=-39.08
frame= 469 | y=1.20 | obs0_x=-39.17
frame= 470 | y=1.20 | obs0_x=-39.25
frame= 471 | y=0.00 | obs0_x=-39.33
frame= 472 | y=1.20 | obs0_x=-39.42
frame= 473 | y=1.20 | obs0_x=-39.50
frame= 474 | y=0.00 | obs0_x=-39.58
frame= 475 | y=0.00 | obs0_x=-39.67
frame= 476 | y=1.20 | obs0_x=-39.75
frame= 477 | y=0.00 | obs0_x=-39.83
frame= 478 | y=0.00 | obs0_x=-39.92
frame= 479 | y=0.00 | obs0_x=-40.00
frame= 480 | y=1.20 | obs0_x=-40.08
frame= 481 | y=0.00 | obs0_x=-40.17
frame= 482 | y=1.20 | obs0_x=-40.25
frame= 483 | y=1.20 | obs0_x=-40.33
frame= 484 | y=0.00 | obs0_x=-40.42
frame= 485 | y=0.00 | obs0_x=-40.50
frame= 486 | y=0.00 | obs0_x=-40.58
frame= 487 | y=0.00 | obs0_x=-40.67
frame= 488 | y=0.00 | obs0_x=-40.75
frame= 489 | y=0.00 | obs0_x=-40.83
